"","Alphaproteobacteria","Betaproteobacteria","Bacteroidia","Clostridia","Gammaproteobacteria","Actinobacteria","Bacilli","Negativicutes","Erysipelotrichia","Spartobacteria","Sphingobacteriia","Coriobacteriia","Solibacteres","Opitutae","Fusobacteriia","Deinococci","Flavobacteriia","Cytophagia","Melainabacteria","Mollicutes","Verrucomicrobia_Incertae_Sedis","Anaerolineae","Chlorobia","Synergistia","Methanobacteria","Planctomycetacia","Thermoplasmata","Chloroplast","Deltaproteobacteria","Epsilonproteobacteria","Acidimicrobiia","Blastocatellia","Acidobacteria","Tectomicrobia(phylum)","OPB35_soil_group","ML635J_21","Cyanobacteria","Verrucomicrobiae","TK10","Candidatus_Nomurabacteria","Subgroup_2"
"X206621",0.0,0.0,0.676470588235,0.147058823529,0.176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.00579278384641,0.0,0.560741476332,0.40334326382,0.00976497848395,0.00231711353856,0.000827540549487,0.00794438927507,0.00182058920887,0.0,0.00182058920887,0.0,0.00264812975836,0.0,0.0,0.0,0.000496524329692,0.00115855676928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.0
"X206620",0.0,0.0,0.241935483871,0.338709677419,0.41935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.090782122905,0.0,0.0935754189944,0.108938547486,0.300279329609,0.259776536313,0.0,0.0,0.0307262569832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474860335196,0.0279329608939,0.0,0.0167597765363,0.0,0.00837988826816,0.0,0.0,0.0,0.0153631284916,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.0913461538462,0.00480769230769,0.192307692308,0.293269230769,0.115384615385,0.00480769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.0,0.0347826086957,0.0695652173913,0.669565217391,0.113043478261,0.0,0.0,0.0434782608696,0.0130434782609,0.0,0.0,0.00434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521739130435,0.0,0.0,0.0
"X206625",0.0,0.0540540540541,0.551951951952,0.315915915916,0.0192192192192,0.0012012012012,0.0138138138138,0.0108108108108,0.0204204204204,0.0,0.0,0.0012012012012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000600600600601,0.0,0.0,0.0
"X206628",0.0,0.0,0.0714285714286,0.211038961039,0.409090909091,0.00649350649351,0.0584415584416,0.0162337662338,0.214285714286,0.0,0.00324675324675,0.0,0.0,0.0,0.00649350649351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.357142857143,0.0,0.0,0.547619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.0,0.0
"X206630",0.000866300895178,0.0189142362114,0.282269708345,0.584608720762,0.0158821830783,0.0141495812879,0.00404273751083,0.0129945134277,0.0511117528155,0.0,0.0,0.00591972278371,0.0,0.0,0.00476465492348,0.00101068437771,0.00158821830783,0.0,0.00101068437771,0.000866300895178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206629",0.0150903294368,0.0227417640808,0.0807651434644,0.714558979809,0.0556854410202,0.0138150903294,0.0227417640808,0.0146652497343,0.0505844845909,0.0,0.0,0.000425079702444,0.0,0.0,0.00595111583422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297555791711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.0711678832117,0.125912408759,0.669708029197,0.00547445255474,0.0346715328467,0.0474452554745,0.0273722627737,0.0109489051095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00729927007299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.0,0.0149875771419,0.191151719163,0.736595335417,0.00336619379659,0.0220004808848,0.0149875771419,0.0123827843232,0.00284523523283,0.0,0.0,4.00737356736e-05,0.0,0.0,0.000200368678368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000921695920494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000520958563757,0.0,0.0,0.0
"X206644",0.0,0.0,0.492260588535,0.456370130975,0.0319782275897,0.0,0.00187106650791,0.0023813573737,0.014118047287,0.0,0.0,0.000170096955265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340193910529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510290865794,0.0,0.0,0.0
"X206643",0.000731475385853,0.000365737692927,0.38936434789,0.531416867822,0.0508375393168,0.00160924584888,0.00877770463024,0.00190183600322,0.0144100651013,0.0,0.0,0.000219442615756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146295077171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000219442615756,0.0,0.0
"X206670",0.0,0.0303643724696,0.363435297646,0.479157294947,0.000487329434698,0.000562303193882,0.00123706702654,0.0390238416554,0.0145074224022,0.0,0.0,0.000112460638776,0.0,0.0,0.000412355675514,0.0,0.0,0.0,0.00146198830409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692382666067,0.0,0.0,0.0
"X206669",0.0,0.0,0.0106382978723,0.063829787234,0.617021276596,0.127659574468,0.0531914893617,0.0212765957447,0.0106382978723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212765957447,0.0,0.0744680851064,0.0,0.0,0.0
"X206676",0.0,0.0240193537239,0.190426818732,0.70641092103,0.0243649559357,0.0038016243304,0.00466562986003,0.0245377570416,0.000172801105927,0.0,0.0,0.0,0.0,0.0,0.00725764644894,0.0,0.0,0.0,0.0,0.000345602211854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138240884742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172801105927,0.0,0.0,0.0
"X206675",0.000759493670886,0.0169620253165,0.30835443038,0.607088607595,0.0154430379747,0.0020253164557,0.0146835443038,0.0210126582278,0.00632911392405,0.0,0.0,0.00126582278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00278481012658,0.0,0.00101265822785,0.0,0.0,0.000506329113924,0.0,0.0,0.0,0.00177215189873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206677",0.0105970535022,0.0104678211424,0.13711553373,0.51163091238,0.242827604032,0.0037477384337,0.0357973636599,0.0138278624968,0.0121478418196,0.0,0.0060739209098,0.000129232359783,0.0,0.0,0.00542775911088,0.0,0.00129232359783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00245541483587,0.0,0.00271387955544,0.0,0.0,0.0,0.00361850607392,0.0,0.000129232359783,0.0,0.0,0.0
"X206678",0.00188812839273,0.00188812839273,0.319919754543,0.552277554874,0.0755251357092,0.00165211234364,0.01687514751,0.00295020061364,0.0175831956573,0.0,0.0,0.00660844937456,0.0,0.0,0.0,0.0,0.0,0.00165211234364,0.0,0.0,0.000590040122728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236016049091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000354024073637,0.0,0.0,0.0
"X206684",8.80785660809e-05,0.0487514863258,0.421191702999,0.506319637116,0.00211388558594,0.00158541418946,0.00312678909587,0.0147971991016,0.00171753203858,0.0,0.0,0.000308274981283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206683",0.0,0.0188498541639,0.362239345261,0.588089330025,0.00339558573854,0.00113186191285,0.00500631230682,0.00787950023943,0.0115362848809,0.0,0.0,0.00187192547125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206571",0.0,0.0,0.491248184667,0.205228158679,0.283726973936,0.000305740273638,0.00298096766797,0.00687915615684,0.00183444164183,0.0,0.0,0.0,0.0,0.0,0.00756707177253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000229305205228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206603",4.21905324445e-05,0.0,0.437642393047,0.263100160324,0.275715129525,8.4381064889e-05,0.00278457514134,0.00717239051557,0.0035018141929,0.0,0.0,4.21905324445e-05,0.0,0.0,0.00978820352713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126571597334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.000211565585331,7.05218617772e-05,0.325458392102,0.198589562764,0.458392101551,0.00148095909732,0.00289139633286,0.00345557122708,0.00472496473907,0.0,0.000282087447109,0.000141043723554,0.0,0.0,0.00430183356841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215061",0.0,0.00598846125758,0.24099905061,0.422843788797,0.206163733294,0.0,0.00701088147229,0.0881472285109,0.00219090046009,0.0,0.00058424012269,0.000292120061345,0.0,0.0,0.0,0.0,0.0,0.0,0.000511210107354,0.00262908055211,0.0,0.0,0.0,0.000803330168699,0.00124151026072,0.0,0.000438180092018,0.0,0.0133644928065,0.0,0.0,0.0,0.0,0.000219090046009,0.0,0.0,0.0,0.00657270138027,0.0,0.0,0.0
"X215062",0.0,0.00512276982865,0.166401695813,0.512453630101,0.190425719837,0.000264970853206,0.0012365306483,0.0903550609433,0.00282635576753,0.0,0.0,0.00132485426603,0.0,0.0,0.0,0.0,0.0,0.0,0.000529941706412,0.00229641406112,0.0,0.0,0.0,0.0012365306483,0.00627097685921,0.0,0.0,0.0,0.0113054230701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00759583112524,0.0,0.000353294470942,0.0
"X215080",0.0,0.0050923905136,0.283136912556,0.368446578399,0.201852660168,0.0372956981425,0.0380231825016,0.0246374702944,0.0117367476599,0.000145496871817,4.84989572724e-05,0.000678985401814,0.0,0.000290993743635,0.00189145933362,0.0,0.0,4.84989572724e-05,0.0,0.000339492700907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000921480188176,0.000145496871817,0.000872981230904,0.0,0.0,0.0,0.0,0.000242494786362,0.0,0.0,0.0240554828071,0.0,0.0,9.69979145448e-05
