"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Pseudomonadaceae","Flavobacteriaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Sphingobacteriaceae","Thermaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Defluviitaleaceae","Spirochaetaceae","Oxalobacteraceae","Eubacteriaceae","Pseudonocardiaceae","Peptococcaceae","Micrococcaceae","Desulfovibrionaceae","Methylobacteriaceae","0319_6A21","Mollicutes_RF9(order)","Acidaminococcaceae","Alicyclobacillaceae","Bacteroidales_S24_7_group","WCHA1_57(class)","Chitinophagaceae","Methanobacteriaceae","Bacteriovoracaceae","Neisseriaceae","Planococcaceae","Rhizobiaceae","Unknown_Family","Lentimicrobiaceae","Chloroplast(class)","Xanthomonadales_Incertae_Sedis","Geodermatophilaceae","Synergistaceae","Chthoniobacteraceae","Family_X","Staphylococcaceae","Campylobacteraceae","Pasteurellaceae","Haliangiaceae","mle1_27","PHOS_HE51","Xanthomonadaceae","Methylophilaceae","Cytophagaceae","Enterobacteriaceae","Bacillaceae","Verrucomicrobiaceae","Carnobacteriaceae","Aeromonadaceae","Clostridiaceae_1","Propionibacteriaceae","NS9_marine_group","Lineage_IIb(order)","Polyangiaceae","Dermabacteraceae","Family_III"
"X206758",0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.01909393213430114,0.0,0.0001072692816533772,0.0001072692816533772,0.0,0.0,3.57564272177924e-05,0.0,0.30639682482926306,0.0,0.1571494976221976,0.015267994421997354,0.0,0.0,0.0017878213608896198,0.0,0.0,0.0,0.0005005899810490936,0.4378374512818679,0.0001430257088711696,0.007187041870776272,0.01194264669074266,7.15128544355848e-05,0.0002502949905245468,0.013337147352236565,0.0001430257088711696,0.0002502949905245468,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,3.57564272177924e-05,0.00017878213608896198,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.02131083062180427,0.0,0.0,0.005685271927628991,0.0,0.0010011799620981872,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.00048221174453493356,0.0,0.0,0.0,0.0,0.000589369909987141,0.0,0.00010715816545220746,0.0003214744963566224,0.0009644234890698671,0.0,0.0,0.0,0.0006965280754393485,0.0,0.0,0.0003214744963566224,0.0,5.357908272610373e-05,0.0006429489927132448,0.0,0.0,0.0,0.0,0.0017145306472353193,0.0,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012858979854264896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.9914809258465495,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.00015440835863914768,5.146945287971589e-05,0.0005661639816768747,0.0,0.0,0.3177209326264862,0.00030881671727829536,0.0,5.146945287971589e-05,0.0,0.0,0.00036028617015801124,0.0,0.30567708065263266,0.0033455144371815327,0.005249884193731021,0.02954346595295692,0.0,0.0,5.146945287971589e-05,0.00030881671727829536,0.0,0.0,0.0005146945287971588,0.3216326110453446,0.005146945287971589,0.0016984919450306244,5.146945287971589e-05,0.0,0.0008235112460754543,5.146945287971589e-05,0.0,0.0006691028874363066,0.0,0.0,0.00010293890575943178,0.0,0.0,0.0,0.0,0.001904369756549488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015440835863914768,0.0,0.0,0.00030881671727829536,0.0,0.0,0.0,0.00010293890575943178,0.0,0.0,0.0,0.0,0.0,0.0,0.0005146945287971588,0.0,0.0013382057748726132,0.0,0.0,0.0,0.0,0.0,0.0,0.0009779196047146018,0.0,0.0,0.0006176334345565907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,0.0,0.0,4.1017227235438884e-05,0.00012305168170631667,0.0,0.2761279737489746,0.0,0.0,4.1017227235438884e-05,0.0,4.1017227235438884e-05,0.0,0.0,0.22904019688269073,0.0,0.014520098441345365,0.013412633305988516,0.0,0.0,0.0008613617719442166,0.0,0.0,0.0,0.0002871205906480722,0.41111566858080395,0.0015176374077112388,0.006029532403609516,0.0,0.0,0.001435602953240361,0.0005742411812961444,4.1017227235438884e-05,0.00012305168170631667,0.0,0.0,8.203445447087777e-05,0.0,0.0,0.0,0.00012305168170631667,0.007916324856439705,0.0,0.0,0.0,8.203445447087777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004922067268252667,0.00016406890894175554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203445447087777e-05,0.00012305168170631667,0.031214109926168992,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0037735849056603774,0.0,0.00016406890894175554,0.00041017227235438887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.0,0.0,0.00021602004666033007,0.00012961202799619806,0.00017281603732826408,0.0,0.13419165298539704,0.0002592240559923961,0.0,0.0,4.320400933206602e-05,0.00012961202799619806,0.0,0.0,0.15091160459690658,0.050505486909185174,0.03957487254817247,0.0016849563639505746,0.0,0.0,0.0002592240559923961,0.0,0.0,0.0,0.00017281603732826408,0.4621100838157781,0.016719951611509548,0.0003888360839885941,4.320400933206602e-05,0.13013047610818285,0.0023330165039315647,0.00012961202799619806,0.0,8.640801866413204e-05,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.007949537717100146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.320400933206602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012961202799619806,0.0,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0014257323079581786,0.0,0.0,0.0,0.0,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.0,0.0,0.0006494002597601039,0.00015280006112002446,0.0,0.03166781266712507,0.0,0.00038200015280006114,0.00019100007640003057,3.8200015280006115e-05,0.0,0.0,0.0,0.11964244785697914,0.008022003208801283,0.001031400412560165,0.0004966001986400795,0.0,7.640003056001223e-05,0.0004966001986400795,0.0,0.0,0.0,0.00019100007640003057,0.16410726564290626,0.00011460004584001834,0.0038964015585606234,0.00015280006112002446,7.640003056001223e-05,0.005386202154480862,0.0,0.0,0.00026740010696004276,0.0,0.00019100007640003057,0.0,0.0,0.0,0.0,0.0,0.00026740010696004276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038200015280006114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015280006112002446,0.00019100007640003057,0.002406600962640385,0.0,0.0,0.0,0.0,0.0,0.0,0.5293376117350447,0.0,0.0,0.0006494002597601039,0.0,0.1293834517533807,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.0,0.00011001503538816971,0.0015768821738970993,0.0001833583923136162,0.0004767318200154021,0.0,0.46283325387803,0.0,7.334335692544648e-05,0.0008434486046426345,3.667167846272324e-05,0.0,0.0001833583923136162,0.0001833583923136162,0.18060801642891194,0.03296783893798819,0.005757453518647549,0.0065642304448274595,0.0,0.0,3.667167846272324e-05,0.0,0.0,3.667167846272324e-05,0.0004767318200154021,0.24294986981554145,0.0032637793831823683,0.0010268069969562507,0.0028237192416296895,0.003483809453958708,0.02853056584399868,0.00022003007077633943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022003007077633943,0.008251127654112728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.00011001503538816971,0.002090285672375225,0.0,0.0,0.0,0.0,0.0,0.0,0.013898566137372108,0.0,0.0,7.334335692544648e-05,3.667167846272324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0,0.0,0.0,0.0,6.66266906522753e-05,0.0,0.11559730828169765,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.10936771270570991,0.010560330468385636,0.002565127590112599,0.0004997001798920647,0.0,0.0,0.0,0.0,0.0,0.0,0.0008994603238057165,0.7113398627490173,6.66266906522753e-05,0.00023319341728296356,0.0,0.0010327137051102673,0.004897061762942235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018655473382637084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66266906522753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04077553467919248,0.0,3.331334532613765e-05,6.66266906522753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206750",7.163836951070993e-05,0.0,0.001182033096926714,0.24314062611934953,0.001074575542660649,0.0001074575542660649,0.18267784225231035,0.0003581918475535497,0.00014327673902141987,0.00014327673902141987,0.0,0.0,0.0003940110323089047,0.0,0.21068844473099793,0.00014327673902141987,0.01787377319292213,0.003331184182248012,0.0004656494018196146,0.0,0.0005014685865749695,0.0,3.581918475535497e-05,0.0,0.0003581918475535497,0.22734436564223798,0.0454187262697901,0.003367003367003367,3.581918475535497e-05,0.011211404828426105,3.581918475535497e-05,3.581918475535497e-05,0.0001074575542660649,0.0003940110323089047,0.0,0.0,0.0002149151085321298,0.0,3.581918475535497e-05,3.581918475535497e-05,0.0004298302170642596,0.016226090694175802,0.0,0.0,3.581918475535497e-05,0.010423382763808296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001074575542660649,3.581918475535497e-05,7.163836951070993e-05,0.0,0.00017909592377677485,0.0,0.004190844616376531,0.0,0.0,0.0,0.0,0.0,0.0,0.014936600042983021,0.0,0.0001074575542660649,0.002328247009098073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206756",0.0,0.0,0.0002979484123606027,0.0,4.256405890865753e-05,0.0,0.10283476632331659,0.0,8.512811781731506e-05,4.256405890865753e-05,0.0,0.0,0.0,8.512811781731506e-05,0.23388950370307313,0.08810760194092108,0.0034051247126926022,0.005703583893760109,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.00025538435345194517,0.4711415680599302,0.024048693283391504,0.0017876904741636163,0.005490763599216821,0.010555886609347068,0.00021282029454328764,0.00012769217672597258,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.020728696688516218,0.0,0.0,0.0,0.012598961436962628,0.0,0.0,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.003107176300332,0.0,0.0,0.0,0.0,0.0,0.0,0.004298969949774411,0.0,0.010683578786073039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.0
"X206766",0.0,0.0,4.1839253587715995e-05,0.0,0.000125517760763148,0.0,0.15342454290615457,0.000125517760763148,8.367850717543199e-05,8.367850717543199e-05,0.0,0.0,0.0,0.0,0.21982343834985985,0.0006694280574034559,0.017488807999665287,0.0021338019329735156,0.0,0.0,0.0,0.0,0.0,0.0,8.367850717543199e-05,0.5475503117024392,0.0012970168612191958,0.0011714991004560479,0.0015898916363332079,0.00020919626793857997,0.01556420233463035,0.0007531065645788879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029287477511401195,8.367850717543199e-05,0.0,0.0,0.004769674908999624,0.0,0.0,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125517760763148,0.0,0.005188067444876783,0.0,0.0,0.0,0.0,0.0,0.0,0.020710430525919418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.367850717543199e-05,0.0,0.0,0.0
"X206768",0.0,0.004470272686633884,0.0,0.0013410818059901655,0.0,0.0004470272686633885,0.012516763522574878,0.000894054537326777,0.0116227089852481,0.0013410818059901655,0.006258381761287439,0.0,0.0049172999552972736,0.0,0.006258381761287439,0.0004470272686633885,0.0031291908806437194,0.0013410818059901655,0.0,0.0,0.03352704514975414,0.0,0.0,0.0,0.0,0.009387572641931158,0.0,0.16450603486812695,0.0,0.0,0.0116227089852481,0.0,0.0,0.02011622708985248,0.0,0.0,0.0,0.0,0.0,0.0,0.004470272686633884,0.0,0.0,0.001788109074653554,0.0,0.0,0.004023245417970496,0.0,0.004470272686633884,0.0004470272686633885,0.001788109074653554,0.0,0.003576218149307108,0.0,0.0,0.0049172999552972736,0.0,0.001788109074653554,0.003576218149307108,0.0,0.0,0.0,0.0013410818059901655,0.0013410818059901655,0.0,0.6079570853822083,0.0013410818059901655,0.001788109074653554,0.012069736253911488,0.001788109074653554,0.004470272686633884,0.0,0.008493518104604381,0.010728654447921324,0.0,0.007599463567277604,0.0,0.0004470272686633885,0.0,0.009834599910594547,0.0,0.0,0.0,0.00581135449262405
"X224327",0.0,0.0,0.0,0.000174140182847192,0.0,0.0,0.23360905528950807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10282977797126687,0.035568132346538966,0.0014366565084893339,0.013931214627775359,0.0,0.0,0.0,0.0,0.0,0.0,8.7070091423596e-05,0.45054418807139746,0.006312581628210709,0.000174140182847192,4.3535045711798e-05,4.3535045711798e-05,0.0,0.010317805833696125,0.0,0.0,0.0,0.0,8.7070091423596e-05,0.0,0.0,0.0,8.7070091423596e-05,0.001393121462777536,0.0,0.0,0.0,8.7070091423596e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7070091423596e-05,0.0,0.009490639965171964,0.0,0.0,0.0,0.0,0.0,0.0,0.11497605572485851,0.0,0.000130605137135394,4.3535045711798e-05,0.0,0.018545929473225947,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",0.0,0.00046699875466998757,0.01486612702366127,0.0007783312577833125,0.00809464508094645,0.0,0.2116282689912827,0.0,0.0,0.002724159402241594,0.0,0.0,0.0,7.783312577833126e-05,0.623832503113325,0.007238480697384807,0.0022571606475716064,0.008717310087173101,0.0,0.0,0.0014009962640099626,0.0,0.0,0.0,0.00015566625155666251,0.060865504358655044,0.002646326276463263,0.020158779576587797,0.00015566625155666251,0.018913449564134495,0.0009339975093399751,0.00046699875466998757,0.0,0.0011674968866749688,0.0,0.0,0.0,0.0,0.0,0.0,0.0013231631382316315,0.0037359900373599006,0.0,0.0,0.0,0.0007004981320049813,0.0,7.783312577833126e-05,0.0,0.0,0.0,0.0,0.0006226650062266501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031133250311332503,0.0,0.0035024906600249067,0.0,0.0,0.0,7.783312577833126e-05,0.0,0.0,0.0010896637608966376,0.0,0.0,0.0009339975093399751,0.0,7.783312577833126e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.0,0.0,0.0,0.000547012702850544,0.001641038108551632,0.0,0.22463988330395673,0.003889868109159424,0.000121558378411232,0.000182337567616848,0.00334285540630888,0.0,0.0,0.0,0.5783747644806418,0.012277396219534432,0.000850908648878624,0.05117607731112867,0.0,0.0,0.000182337567616848,0.0,0.0,0.0,0.006807269191028992,0.08782592840211512,0.000547012702850544,0.000729350270467392,0.0,0.000425454324439312,0.006442594055795296,0.0018233756761684798,0.0018233756761684798,0.000121558378411232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010271682975749104,0.0,0.0,0.0,0.004011426487570656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000182337567616848,0.0,0.0006685710812617759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000547012702850544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000547012702850544,0.0,0.0
"X219653",0.0,0.0,0.00041407867494824016,0.0027950310559006213,0.005279503105590062,0.0,0.2731366459627329,0.00036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.16195652173913044,0.02458592132505176,0.013923395445134575,0.02665631469979296,0.0,0.0,0.015113871635610766,0.0,0.0,0.0,0.0007246376811594203,0.262008281573499,0.006004140786749482,0.002639751552795031,0.007401656314699793,0.02406832298136646,0.02127329192546584,0.0005693581780538302,0.0,0.0,0.0,0.0,0.0,0.0002587991718426501,0.0,0.0,0.0,0.013302277432712215,0.0,0.0,0.0,0.015579710144927537,0.0,0.0,0.0,0.0,0.009006211180124223,0.0,0.011387163561076604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005693581780538302,0.02386128364389234,0.0,0.0,0.0,0.0,0.0,0.0,0.02044513457556936,0.0,0.055175983436853,0.00031055900621118014,0.0,0.0011904761904761906,0.0,0.0,0.0,0.0,0.0,0.0
"X219676",0.0,0.00013214694740551494,0.0,0.00013214694740551494,0.00044048982468504976,0.0,0.09351598978063606,4.404898246850498e-05,0.00022024491234252488,0.0002642938948110299,0.0,0.0,0.0,0.0,0.1964144128270637,0.007576424984582856,0.09686371244824245,0.02700202625319355,0.0,0.0,0.001938155228614219,0.0003523918597480398,0.0,0.0,0.001761959298740199,0.1735970399083781,0.0,0.023037617831028104,4.404898246850498e-05,0.0,0.3396617038146419,0.002731036913047309,0.00013214694740551494,0.0014976654039291692,0.0,0.0,0.0,0.0,0.0,4.404898246850498e-05,0.0,0.0034358206325433883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.404898246850498e-05,0.0,0.0,0.02087921769007136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.404898246850498e-05,0.0,0.0008369306669015945,0.0,0.0,0.0,0.0,0.0,0.0,0.0036120165624174082,0.0,0.0,0.003744163509822923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219692",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14166666666666666,0.0,0.0,0.0,0.0,0.4,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
