"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Ruminiclostridium","Corynebacterium","uncultured","Pseudomonas","Sphingomonas","Lactobacillus","Oscillibacter","Faecalibacterium","Lachnospiraceae_FCS020_group","Hungatella","Sutterella","Veillonella","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Sphingopyxis","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Pedobacter","Sphingobacterium","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Flavobacterium","Intestinibacter","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Howardella","Fusobacterium","Asticcacaulis","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Brevundimonas","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Cellulomonas","Anaerofustis","_Eubacterium_xylanophilum_group","Cellulosilyticum","Lachnospiraceae_NK4A136_group","Peptococcus","Gordonibacter","Butyricimonas","Rothia","Negativicoccus","Solobacterium","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Blastocatella","Atopobium","Oscillospira","Methylobacterium","Mollicutes_RF9(order)","Lachnoanaerobaculum","Altererythrobacter","Phascolarctobacterium","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Rheinheimera","Erysipelatoclostridium","OPB56(family)","Parasutterella","Chitinophagaceae(family)","Alloprevotella","vadinBE97(family)","Selenomonas","Megasphaera","Dorea","Gordonia","_Eubacterium_coprostanoligenes_group","Methanobacterium","Eikenella","Hydrotalea","Rhizobium","Victivallis","Paludibacter","uncultured(family)","Knoellia","Ruminococcaceae_UCG_002","Barnesiella","Lachnospiraceae(family)","Variibacter","Parvimonas","Lactococcus","Streptomyces","Oribacterium","Rhodococcus","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Blastococcus","Dialister","Thermicanus","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","Aerococcus","Morganella","Aggregatibacter","ML635J_21(class)","Stenotrophomonas","Ruminococcaceae_UCG_004","Citrobacter","Parabacteroides","Ezakiella","Proteiniphilum","Turicibacter","Finegoldia","Fusicatenibacter","Mogibacterium","Dielma","Prevotellaceae_NK3B31_group","Catenibacterium","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","TK10(class)","Methanobrevibacter","Aeromonas","Clostridium_sensu_stricto","Propionibacterium","Georgenia","Christensenella","Peptoniphilus","_Eubacterium_rectale_group","Slackia","Acidisphaera","Succiniclasticum","Erythrobacter","Devosia","Rubellimicrobium","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Varibaculum","Holdemania","Holdemanella","Escherichia_Shigella","Rhodopseudomonas","_Ruminococcus_gnavus_group","Cellvibrio","Microvirga","Micrococcus","_Eubacterium_eligens_group","Gardnerella","Lawsonella","Erysipelotrichaceae_UCG_003"
"X206620",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.1774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.0,0.0,0.0,0.2932692307692308,0.0,0.052884615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014423076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2980769230769231,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13942307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206629",0.0,0.0,0.0,0.0,0.0,0.005526036131774708,0.004888416578108395,0.002975557917109458,0.002975557917109458,0.0004250797024442083,0.0,0.0822529224229543,0.0,0.0,0.022741764080765142,0.005313496280552604,0.0,0.0,0.0006376195536663124,0.0,0.0,0.0,0.0010626992561105207,0.016153028692879916,0.0,0.0,0.0,0.0,0.0,0.0,0.0004250797024442083,0.07927736450584484,0.001487778958554729,0.0,0.005526036131774708,0.0,0.0,0.028905419766206163,0.0,0.0,0.020403825717321997,0.005951115834218916,0.0,0.004250797024442083,0.007438894792773645,0.004038257173219979,0.0,0.0,0.0,0.002975557917109458,0.0,0.0076514346439957494,0.006801275239107333,0.0019128586609989374,0.09840595111583422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004888416578108395,0.0,0.0,0.0,0.009351753453772583,0.0,0.0,0.0,0.0,0.0,0.012752391073326248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014027630180658874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002975557917109458,0.0,0.0,0.0,0.0,0.00021253985122210415,0.0,0.0,0.0,0.0,0.0,0.0,0.008076514346439958,0.0,0.0,0.0,0.0,0.016153028692879916,0.1479277364505845,0.0,0.0,0.013177470775770457,0.010839532412327312,0.0,0.0,0.016790648246546226,0.0,0.0,0.0,0.0,0.0,0.0,0.014452709883103081,0.0,0.0008501594048884166,0.0,0.0,0.003188097768331562,0.0019128586609989374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006376195536663124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16068012752391073,0.0,0.0004250797024442083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381509032943677,0.0025504782146652497,0.0820403825717322,0.0,0.0,0.0025504782146652497,0.0006376195536663124,0.0010626992561105207,0.0004250797024442083,0.03719447396386823
"X206635",0.0,0.0014025807485773824,0.0,0.0006411797707782319,0.0021239079907028934,4.0073735673639494e-05,0.009978360182736234,0.0,0.0,0.0012022120702091848,4.0073735673639494e-05,0.4736314819267452,0.0,0.00012022120702091849,0.0,0.002805161497154765,0.0,0.0,0.0,0.0,0.0018033181053137774,0.00016029494269455797,0.0,0.004448184659773984,0.0,8.014747134727899e-05,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.19027009697844033,0.0,0.00048088482808367395,0.013424701450669232,0.0,0.0009617696561673479,0.0036066362106275548,0.0,0.000881622184820069,0.0,0.00012022120702091849,0.0,0.021880259677807164,0.05401939568806604,0.03089685020437605,0.0,0.0,8.014747134727899e-05,0.0,8.014747134727899e-05,4.0073735673639494e-05,0.0,0.00016029494269455797,0.0018834655766610563,8.014747134727899e-05,0.0023643504047447302,8.014747134727899e-05,0.0,4.0073735673639494e-05,0.0,0.00024044241404183698,0.0,0.0,0.00012022120702091849,0.0,0.00717319868558147,0.0,0.0,0.0,0.0,0.0,4.0073735673639494e-05,0.0,0.0009216959204937084,0.00032058988538911595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00561032299430953,0.0,0.0,0.003366193796585718,8.014747134727899e-05,8.014747134727899e-05,8.014747134727899e-05,0.0,0.014987577141941173,0.0,0.0,0.0,0.0,8.014747134727899e-05,0.013384627714995592,0.0,0.0016430231626192193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004448184659773984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015708904384066684,0.0,0.0,0.003887152360343031,0.0,4.0073735673639494e-05,0.01759236996072774,0.0,0.0,0.0022842029333974513,0.007012903742886912,0.0,0.0,0.000881622184820069,0.0,0.0,0.0,0.0,0.0,0.0,4.0073735673639494e-05,0.0,0.0,0.0,4.0073735673639494e-05,0.0,0.012262563116133687,0.0,0.0,0.0,0.0,0.0,0.0005209585637573135,0.001041917127514627,4.0073735673639494e-05,0.00024044241404183698,0.0,0.000881622184820069,0.0,0.004247815981405787,0.0,0.0,0.0,8.014747134727899e-05,0.0,0.0,0.00012022120702091849,0.0,0.023723651518794582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003606636210627555,0.0,0.0023242766690710908,0.0,0.018634287088242368,0.0,0.0,0.0,0.013344553979321952,0.0,0.0,0.0022040554620501723
"X206643",0.0,0.0,0.0,0.0010972130787798991,0.03211176943895838,0.0005120327700972862,0.037524687294272545,7.31475385853266e-05,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0017555409260478386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006729573549850047,0.0,0.0008046229244385927,0.0,0.0,0.0,0.0,7.31475385853266e-05,0.38863287250384027,0.0,0.0005120327700972862,0.00731475385853266,0.0,0.0012435081559505523,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0005851803086826128,0.02048131080389145,0.004900885085216883,0.0,0.0,7.31475385853266e-05,0.0,0.0,0.0013898032331212055,0.0,0.0,0.0,0.000365737692926633,0.0,0.0032916392363396972,0.000365737692926633,0.0,0.0,0.0,0.0,0.0,0.0,0.0008046229244385927,0.0,0.0,0.0,0.0,0.00043888523151195964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005851803086826128,7.31475385853266e-05,0.13561553653719552,0.0,0.0,0.006071245702582108,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0016823933874625119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0019018360032184917,0.0,0.0,0.0001462950771706532,0.15280520810474726,0.0,0.0,0.03247750713188501,0.00021944261575597982,0.0,0.0,0.0,0.0,0.0005851803086826128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013166556945358788,0.0,0.0,0.0,0.0,0.01462950771706532,0.0001462950771706532,0.0002925901543413064,0.0,0.0,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.11703606173652256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003730524467851657,0.0,0.016897081413210446,0.0,0.0010240655401945725,0.0,0.0005851803086826128,0.0,0.0,0.0,0.0,0.0
"X206669",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106382978723404,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09574468085106383,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.010638297872340425
"X206675",0.0,0.0,0.00025316455696202533,0.002531645569620253,0.03215189873417722,0.0,0.011139240506329114,0.0037974683544303796,0.0,0.002278481012658228,0.0,0.21063291139240506,0.0,0.0,0.0005063291139240507,0.0010126582278481013,0.0,0.0,0.0,0.0,0.0,0.02379746835443038,0.0,0.006835443037974683,0.0,0.005316455696202532,0.0,0.0,0.0,0.0,0.0012658227848101266,0.2478481012658228,0.0,0.0020253164556962027,0.0012658227848101266,0.0,0.0,0.010379746835443038,0.0027848101265822785,0.05721518987341772,0.0,0.0,0.0007594936708860759,0.0,0.011645569620253165,0.029873417721518986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008860759493670886,0.034430379746835445,0.0007594936708860759,0.0,0.0,0.0,0.0,0.0,0.0005063291139240507,0.00025316455696202533,0.0,0.028354430379746835,0.0,0.019240506329113925,0.0,0.0,0.0,0.0005063291139240507,0.0,0.0,0.0,0.0,0.0030379746835443038,0.0,0.0,0.0010126582278481013,0.0,0.0027848101265822785,0.0,0.0,0.019240506329113925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014936708860759493,0.0,0.0,0.0,0.0,0.00025316455696202533,0.0037974683544303796,0.0,0.0,0.0005063291139240507,0.0015189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.005316455696202532,0.0,0.0,0.0,0.0,0.0027848101265822785,0.0,0.0,0.0,0.0,0.01139240506329114,0.0,0.0,0.0,0.0007594936708860759,0.0005063291139240507,0.0,0.00025316455696202533,0.0,0.016708860759493672,0.017215189873417722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0,0.002278481012658228,0.002278481012658228,0.0007594936708860759,0.0027848101265822785,0.0,0.0035443037974683543,0.0,0.0027848101265822785,0.0,0.0,0.0,0.0,0.0017721518987341772,0.0,0.0017721518987341772,0.0,0.0,0.0017721518987341772,0.015443037974683544,0.0,0.0,0.0,0.008354430379746836,0.0,0.0012658227848101266,0.0,0.0,0.05291139240506329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007594936708860759,0.0,0.011139240506329114,0.0,0.02531645569620253,0.0005063291139240507,0.0,0.0,0.0030379746835443038,0.0,0.0,0.0
"X206677",0.0002584647195657793,0.0,0.0015507883173946756,0.0027138795554406824,0.007624709227190488,0.0,0.0031015766347893513,0.004264667872835358,0.0006461617989144482,0.0,0.0,0.24101835099508917,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011889377100025847,0.0,0.005040062031532695,0.0,0.004135435513052468,0.0019384853967433445,0.0,0.0,0.13194623933833033,0.001033858878263117,0.0005169294391315585,0.02894804859136728,0.0012923235978288964,0.0,0.0007753941586973378,0.0003876970793486689,0.0,0.0,0.005427759110881365,0.0,0.0,0.0,0.0009046265184802275,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011630912380460067,0.0012923235978288964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002584647195657793,0.0,0.0,0.0,0.002455414835874903,0.0,0.0,0.0,0.0,0.0,0.0027138795554406824,0.0,0.0,0.0,0.0,0.0,0.002196950116309124,0.0,0.0,0.0,0.0,0.0,0.0,0.010338588782631171,0.0,0.0002584647195657793,0.0,0.0,0.0,0.0,0.0,0.004135435513052468,0.0,0.0,0.0,0.008658568105453606,0.0,0.006720082708710261,0.0,0.0,0.0,0.0002584647195657793,0.0,0.0,0.0,0.0,0.0,0.0,0.0002584647195657793,0.0012923235978288964,0.0,0.0,0.0,0.0,0.0005169294391315585,0.00012923235978288964,0.0,0.00012923235978288964,0.00361850607392091,0.0,0.002455414835874903,0.0,0.0,0.0,0.0,0.16619281468079608,0.0,0.0,0.0,0.00361850607392091,0.0,0.0,0.0,0.0025846471956577927,0.0,0.0,0.0,0.0,0.0,0.0,0.0005169294391315585,0.0,0.00012923235978288964,0.00012923235978288964,0.00012923235978288964,0.0,0.00012923235978288964,0.0016800206771775653,0.0,0.0,0.0,0.0,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0,0.20599638149392607,0.0,0.0,0.0,0.0005169294391315585,0.0002584647195657793,0.0002584647195657793,0.0,0.0025846471956577927,0.0,0.0,0.0,0.0,0.06965624192297751,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
